Algoritmo,Size_texto_A(bytes),Size_texto_B(bytes),Size_avg(bytes),Tiempo_Medio(ns),Stdev,Mem_Peak(KB)
editDistanceRecursive,10,11,10,4.1551,1.1733,3700
editDistanceMemo,10,11,10,3.8039,0.9755,3696
editDistanceDP,10,11,10,4.3295,0.9397,3700
editDistanceDPOptimized,10,11,10,5.1289,0.7716,3700
editDistanceRecursive,10,201,105,26588.1482,19.2691,3700
editDistanceMemo,10,201,105,3.8828,0.9519,3692
editDistanceDP,10,201,105,4.0839,0.9303,3700
editDistanceDPOptimized,10,201,105,3.8462,0.7497,3700
editDistanceRecursive,10,4113,2061,17257.2566,19.1493,3688
editDistanceMemo,10,4113,2061,3.7022,0.9497,3932
editDistanceDP,10,4113,2061,3.9327,0.8031,3956
editDistanceDPOptimized,10,4113,2061,4.1478,0.7511,3692
editDistanceRecursive,11,10,10,4.8761,1.0320,3700
editDistanceMemo,11,10,10,4.1043,0.9538,3696
editDistanceDP,11,10,10,4.1460,1.0145,3684
editDistanceDPOptimized,11,10,10,4.3258,0.7609,3696
editDistanceRecursive,11,201,106,-1,-1,-1
editDistanceMemo,11,201,106,4.3393,1.1378,3692
editDistanceDP,11,201,106,4.2500,0.8277,3696
editDistanceDPOptimized,11,201,106,4.2809,0.9055,3696
editDistanceRecursive,11,4113,2062,-1,-1,-1
editDistanceMemo,11,4113,2062,4.1910,1.0867,4084
editDistanceDP,11,4113,2062,4.3539,1.1502,3956
editDistanceDPOptimized,11,4113,2062,4.0479,0.7994,3696
editDistanceRecursive,201,10,105,30170.4368,761.5091,3700
editDistanceMemo,201,10,105,3.7025,0.7511,3696
editDistanceDP,201,10,105,4.8724,1.1403,3700
editDistanceDPOptimized,201,10,105,4.4182,1.1539,3700
editDistanceRecursive,201,11,106,-1,-1,-1
editDistanceMemo,201,11,106,4.8274,1.2943,3692
editDistanceDP,201,11,106,5.0051,1.3685,3692
editDistanceDPOptimized,201,11,106,4.0368,0.8729,3688
editDistanceRecursive,201,4113,2157,-1,-1,-1
editDistanceMemo,201,4113,2157,12.0112,3.8072,6836
editDistanceDP,201,4113,2157,8.3718,2.0670,6576
editDistanceDPOptimized,201,4113,2157,6.0136,1.2475,3700
editDistanceRecursive,4113,10,2061,19912.9320,871.0685,3688
editDistanceMemo,4113,10,2061,4.2497,0.9185,3928
editDistanceDP,4113,10,2061,4.8989,1.2900,3908
editDistanceDPOptimized,4113,10,2061,4.1536,1.0680,3700
editDistanceRecursive,4113,11,2062,-1,-1,-1
editDistanceMemo,4113,11,2062,4.4026,1.1044,4024
editDistanceDP,4113,11,2062,4.4460,1.0955,3924
editDistanceDPOptimized,4113,11,2062,4.5658,0.9964,3684
editDistanceRecursive,4113,201,2157,-1,-1,-1
editDistanceMemo,4113,201,2157,12.5731,3.5237,6964
editDistanceDP,4113,201,2157,8.7621,2.0052,6696
editDistanceDPOptimized,4113,201,2157,6.2046,1.3619,3688
